,Sample,Target,ADE_HEX_06,C22_N_02,CHK_N_06,CNL_N_04,COC_N_04,COV_N_01,MER_N_03,pred_label,confidence_level
0,COV_QC_1(diluted),COV_N_01,0,0,16.38,0,0,69.96,13.65,COV_N_01,69.96
1,COV_QC_2(diluted),COV_N_01,0,0,4.75,0,0,94.77,0.48,COV_N_01,94.77
2,COV_QC_3(diluted),COV_N_01,0,0,0,0,0,100,0,COV_N_01,100
3,COV_QC_4(diluted),COV_N_01,0,0,0.53,0,0,99.34,0.13,COV_N_01,99.34
4,COV_QC_5(diluted),COV_N_01,0,0,0.8,0,0,99.2,0,COV_N_01,99.2
5,MER_01_MER(diluted),MER_N_03,39.02,0,0,0,0,0,60.98,MER_N_03,60.98
6,MER_02_CNL(diluted),CNL_N_04,0,0,0,100,0,0,0,CNL_N_04,100
7,MER_03_MER(diluted),MER_N_03,0,3.51,0,0,0,0,96.49,MER_N_03,96.49
8,MER_05_MER(diluted),MER_N_03,0,20.91,0,0,0,0,79.09,MER_N_03,79.09
9,MER_06_MER(diluted),MER_N_03,8.17,0.14,0,0,0,0,91.69,MER_N_03,91.69
10,MER_07_COC(diluted),COC_N_04,0,0,0,0,78.72,21.28,0,COC_N_04,78.72
11,MER_08_MER(diluted),MER_N_03,30,0,0,0,0,0,70,MER_N_03,70
12,RSP_03_ADE(diluted),ADE_HEX_06,100,0,0,0,0,0,0,ADE_HEX_06,100
13,RSP_08_CNL(diluted),CNL_N_04,0,0,1.65,96.15,0,0,2.2,CNL_N_04,96.15